"VDVC-Titel"	"OGDB-Matc"
"(???) Far Cry Reihe"	(titel)
"(???) Farming Simulator"	(titel)
"Farmville 2"	(titel)
"Farmville Heroes"	(titel)
"FarmVille"	(titel)
"Fate/Stay Night"	(titel)
"Fat Princess: Piece of Cake"	(titel)
"(???) F.E.A.R. 1, 2 F.E.A.R. 1, 2 & 3" 3""	(titel)
"F.E.A.R. 2"	(titel)
"F.E.A.R. 3"	"F.E.A.R. 3"
"Fez"	FEZ
"FIFA 12"	"FIFA 12"
"FIFA 13"	"FIFA 13"
"(???) fifa 14/15"	(titel)
"FIFA 14"	"FIFA 14"
"FIFA 15"	"FIFA 15"
"FIFA  15"	(titel)
"(???) Fifa"	(titel)
"FIFA World"	(titel)
"Final Fantasy"	"Final Fantasy"
"Final Fantasy II"	"Final Fantasy II"
"Final Fantasy III"	"Final Fantasy III"
"Final Fantasy V"	"Final Fantasy V"
"Final Fantasy VI"	"Final Fantasy VI"
"Final Fantasy VII"	"Final Fantasy VII"
"Final Fantasy VIII"	"Final Fantasy VIII"
"Final Fantasy X"	"Final Fantasy X"
"Final Fantasy X HD Remaster"	"Final Fantasy X HD Remaster"
"Final Fantasy XIII-2"	"Final Fantasy XIII-2"
"Final Fantasy XIII"	"Final Fantasy XIII"
"Final Fantasy XIV: A Realm Reborn"	(titel)
"Final Fight"	"Final Fight"
"Final Horizon"	"Final Horizon"
"Fire Emblem: Awakening"	"Fire Emblem: Awakening"
"Fire Emblem: Path of Radiance"	"Fire Emblem: Path of Radiance"
"Firefall"	(titel)
"Fistful of Frags"	(titel)
"Fist of Awesome"	"Fist of Awesome"
"Five Nights at Freddy's"	(titel)
"Flappy Crush"	(titel)
"(???) Flash spiele auf kongregate.com und armorgames.com"	(titel)
"FlatOut 2"	"FlatOut 2"
"Flight Control"	"Flight Control"
"Flight of the Amazon Queen"	"Flight of the Amazon Queen"
"Floating Point"	(titel)
"Flow Free: Bridges"	(titel)
"Football Manager 2014"	"Football Manager 2014"
"Football Manager 2015"	"Football Manager 2015"
"(???) Football Manager"	(titel)
"FORCED"	(titel)
"Forge of Empires"	(titel)
"Forge Quest"	(titel)
"Formel 1 2011"	(titel)
"Fortix 2"	(titel)
"Fortnite"	(titel)
"FortressCraft Evolved!"	(titel)
"Forza Horizon 2"	"Forza Horizon 2"
"forza horizon  2"	(titel)
"Forza Horizon"	"Forza Horizon"
"Forza Motorsport 4"	"Forza Motorsport 4"
"Forza Motorsport 5"	"Forza Motorsport 5"
"Forza Motorsport  5"	(titel)
"(???) Forza Motorsport"	(titel)
"(???) Forza"	(titel)
"Fractured Space"	(titel)
"Framed"	(titel)
"FreeCell"	Freecell
"Freecol"	(titel)
"Freedom Wars"	"Freedom Wars"
"Freelancer"	Freelancer
"Frets on Fire"	(titel)
"From the Depth"	(titel)
"Frozen: Olaf's Quest"	(titel)
"Frozen Synapse"	(titel)
"Fruit Ninja"	"Fruit Ninja"
"FTL: Faster Than Light"	(titel)
"Fuchstreff: Doppelkopf für Füchse"	(titel)
"Full Mojo Rampage"	(titel)
