"Unsere Schreibweise"	"Andere Schreibweise"
"(???) Spider Solitaire"	"Spider Solitair"
"(???) Spider Solitaire"	"Spider Solitaire"
"(???) Spider Solitaire"	"Spider Solitär"
"(???) Star Wars"	"Star Wars"
"(???) StarCraft 1/2"	"Starcraft / Brood WarStarCraft 2 - Legacy of the Void"
"(???) StarCraft II inkl. BroodWar"	"StarCraft II inkl. BroodWar"
"(???) StarCraft III"	"StarCraft III"
"(???) Strategic Command"	"Strategic Command"
"(???) Sudoku"	"Sudoku"
"(???) Super Mario Bros."	"Super Mario Bros."
"(???) Super Mario Spiele"	"Super Mario Spiele"
"(???) Super Mario Spiele"	"Super Mario Spiele"
"(???) Super Mario"	"Super Mario"
"(???) Super Smash Bros."	"Smash Bros"
"(???) Super Smash Bros."	"Super Smash Bros"
"(???) Super Smash Bros."	"Super Smash Bros."
"(???) Super Smash Bros."	"Super Smash Brother"
"(???) Super Smash Bros."	"Super Smash Brothers"
"(???) Super Smash Bros."	"Super Smash"
"(???) Super Smash Bros."	"Super smash bro"
"(???) Tentacle Girl"	"Tentacle Girl"
"(???) Tentacle Wars"	"Tentacle Wars"
"(???) The Chronicles of Riddick"	"The Chronicles of Riddick"
"(???) The Elder Scrolls"	"The Elder Scrolls"
"(???) The Elder Scrolls: Oblivion/Skyrim"	"The Elder Scrolls: Oblivion/Skyrim"
"(???) The Endless"	"The Endless"
"(???) The GReat Giana Sisters Twisted Dreams"	"The GReat Giana Sisters Twisted Dreams"
"(???) The Jackbox Party Pack 1/2"	"The Jackbox Party Pack 1/2"
"(???) The Legend of Zelda"	"(???) Zelda"
"(???) The Legend of Zelda"	"The legend of Zelda"
"(???) The Legend of Zelda"	"Zelda"
"(???) The Walking Dead"	"Telltale: The walking Dead"
"(???) The Walking Dead"	"The Typing of the Dead: Overkill"
"(???) The Walking Dead"	"The Waking Dead Season 2"
"(???) The Walking Dead"	"The Walkind Dead Session Two"
"(???) The Walking Dead"	"The Walkind Dead"
"(???) The Walking Dead"	"The Walking Dead (Telltale) (PC)"
"(???) The Walking Dead"	"The Walking Dead (telltail)"
"(???) The Walking Dead"	"The Walking Dead - Season 1"
"(???) The Walking Dead"	"The Walking Dead - Season 2"
"(???) The Walking Dead"	"The Walking Dead - Season Two"
"(???) The Walking Dead"	"The Walking Dead 1+2+Addon"
"(???) The Walking Dead"	"The Walking Dead 2"
"(???) The Walking Dead"	"The Walking Dead : Season 2"
"(???) The Walking Dead"	"The Walking Dead Episode 1"
"(???) The Walking Dead"	"The Walking Dead Episode Two"
"(???) The Walking Dead"	"The Walking Dead S2"
"(???) The Walking Dead"	"The Walking Dead Season 1"
"(???) The Walking Dead"	"The Walking Dead Season 1+2"
"(???) The Walking Dead"	"The Walking Dead Season 2 (Telltale)"
"(???) The Walking Dead"	"The Walking Dead Season 2 Episode 1 (Xbox 360)"
"(???) The Walking Dead"	"The Walking Dead Season One"
"(???) The Walking Dead"	"The Walking Dead Season Two (Telltale)"
"(???) The Walking Dead"	"The Walking Dead Season Two"
"(???) The Walking Dead"	"The Walking Dead Staffel 1"
"(???) The Walking Dead"	"The Walking Dead Staffel 2"
"(???) The Walking Dead"	"The Walking Dead Telltale"
"(???) The Walking Dead"	"The Walking Dead season2"
"(???) The Walking Dead"	"The Walking Dead"
"(???) The Walking Dead"	"The Walking Dead-Survival Instinct"
"(???) The Walking Dead"	"The Walking Dead: 400 Tage"
"(???) The Walking Dead"	"The Walking Dead: A Telltale Games Series"
"(???) The Walking Dead"	"The Walking Dead: Season 1"
