"Unbekannter Titel"	"Nennungen"	"Schreibweise"	"Release"	"Freigabe"	"Kommentar"
"Jamestown"	1	""		"."	""
"Jelly Killer"	1	""		"."	""
"Karmaflow - The Rock Opera Videogame"	1	""		"."	""
"Kartenspiele"	1	""		"."	""
"Kerbal Space Prog"	1	""		"."	""
"Killling floor2"	1	""		"."	""
"Kindred Spirit on the Roof"	1	""		"."	""
"Kingdom Rush (Android)"	1	""		"."	""
"Kingdom Rush (Steam)"	1	""		"."	""
"Kingdom Rush Origins"	1	""		"."	""
"Kingdom Wars"	1	""		"."	""
"Kingpin"	1	""		"."	"Kingpin: Life of Crime"
"King's Bounty the Legend"	1	""		"."	""
"Kirby Planet Robobot"	1	""		"."	"Kirby: Planet Robobot"
"Klondike"	1	""		"."	""
"Knights of the Old Republic 2: The Sith Lords"	1	""		"."	"Star Wars:  Knights of the Old Republic II - The Sith Lords"
"Kung Fu Panda:  Showdown of Legendary Legends"	1	""		"."	""
"Landwirtschafts Simulator 17"	1	""		"."	""
"Landwirtschafts Simulator 2016"	1	""		"."	""
"Landwirtschafts Simulator 2017"	2	"Landwirtschafts-Simulator 17"	2016	"usk0"	""
"Landwirtschafts-Simulator 17"	1	""		"."	""
"Lara Croft Relic Run"	1	""		"."	""
"League oft Legends"	1	""		"."	""
"Legend of hero serie"	1	""		"."	""
"Legend of Heroes - Trails in the Sky"	1	""		"."	""
"legend of legaia ja ich weis bin retro XD"	1	""		"."	""
"Legend of Zelda Twilight Princess"	1	""		"."	""
"Lego Star Wars Das Erwachen der Macht"	1	""		"."	""
"LEGO- The Hobbit"	1	""		"."	""
"Life ist strange"	1	""		"."	""
"Long Dark"	1	""		"."	""
"Lovers in Dangerous Spacetime"	1	""		"."	""
"LS 17"	1	""		"."	""
"Machines vs Androids"	1	""		"."	""
"Mad Max (2015)"	1	""		"."	""
"Mafia III (2016)"	1	""		"."	""
"Magick 2014"	1	""		"."	"Magic: The Gathering - Duels of the Planeswalkers 2014"
"Mah jongg"	1	"(???) Mah jongg"		"."	""
"Make America great again: The Trump Presidency"	1	""		"."	""
"Manual Samuel"	1	""		"."	""
"Mario kart u"	1	""		"."	""
"Mario und Luigi: Dream team"	1	""		"."	"Mario & Luigi: Dream Team"
"Marvel Heroes 2016"	1	""		"."	""
"Master of Orion - Conquer the Stars"	1	""		"."	""
"Masters of Orion"	1	""		"."	""
"Melty Blood Actress Again Current Code"	1	""		"."	""
"Merger 3D"	1	""		"."	""
"Metal Gear Rising Revengens"	1	""		"."	""
"Metal gear solid 1"	1	""		"."	""
"Metal Gear Solid V - Phantom Pain"	1	""		"."	""
"Metal gear solide 5"	1	""		"."	""
"Metro: 2033 Redux"	1	""		"."	""
"Metroid Prime 3"	1	""		"."	""
"MGS V: The Phantom Pain"	1	""		"."	""
"MGS5 TPP"	1	""		"."	""
"Middle-Earth:Shaddow of Mordor"	1	""		"."	"Mittelerde: Mordors Schatten"
"Might & Magic Heroes VII"	1	""		"."	""
"Might and Magic: Heroes VII"	1	""		"."	""
"Minecraft - FTB Infinity Lite"	1	""		"."	""
"Minecraft (VR und Flatgaming)"	1	""		"."	""
"Minecraft FTB infinity evolved"	1	""		"."	""
"Minecraft: Story Mode - A Telltale Games Series"	1	""		"."	""
"Minecraft: Story Mode - A TTG Games Series"	1	""		"."	""
"Minion Masters"	1	""		"."	""
"Mirror Edge"	1	""		"."	""
"Mirror's Edge: Catalyst"	1	""		"."	""
"Mission Impossible (N64)"	1	""		"."	""
"Mitosis: The Game"	1	""		"."	""
"Modern Warfare Remastered"	1	""		"."	""
"Monkey Island  SE"	1	""		"."	""
"Monkey Island 2 Special Edition"	1	""		"."	""
"Monster Hunter 4U"	1	""		"."	""
"Monster Hunter 4u"	2	""		"."	"Monster Hunter 4 Ultimate"
"Monster Hunter Gen"	1	""		"."	""
"mount your friend"	1	""		"."	""
"Murdered"	1	""		"."	""
"Mushihimesama"	1	""		"."	""
"MX vs ATV: Reflex"	1	""		"."	""
"My Summer Car"	1	""		"."	""
"NCAA Football 14"	1	""		"."	""
"Need for Speed (2016)"	1	""		"."	""
"Nehrim"	1	""		"."	""
"NFL Mobile"	1	""		"."	""
"NHL17"	1	""		"."	""
"Niggers vs Niggers 1"	1	""		"."	""
"Niggers vs Niggers 2"	1	""		"."	""
"Niggers vs Niggers 3"	1	""		"."	""
"Niggers vs Niggers 4"	1	""		"."	""
"Niggers vs Niggers 5"	1	""		"."	""
"Nintendo Badge Arcade"	1	""		"."	""
"No man´s sky"	1	""		"."	""
"No mans sky"	1	""		"."	""
"No Mans Sky"	2	"No Man’s Sky"		"."	"No Man's Sky"
"Nonograms Katana"	1	""		"."	""
"NuDoom"	1	""		"."	""
"Okhlos"	1	""		"."	""
"One Piece: Treasure Cruise"	1	""		"."	""
"Only If"	1	""		"."	""
"Onward VR"	1	""		"."	""
"Onward"	1	""		"."	""
"Open RA"	1	""		"."	""
"Orcs Must Die Unchained"	1	""		"."	""
"Ori and the Blind Forest Definitive Edition"	1	""		"."	""
"Ori and the Blind Forrest"	1	""		"."	""
"Ori"	1	""		"."	""
"Oriental Empires"	1	""		"."	""
"Orion Prelude"	1	""		"."	""
"orwell"	1	""		"."	""
"Orwell"	2	""	2016	"."	""
