"Titel"	"Anzahl"
"wing commander"	"1"
"Wing Commander III"	"1"
"Winning Eleven 9 LE"	"1"
"Wipe Out"	"1"
"Witcher Adventure Game"	"1"
"Wizard's Choice"	"1"
"Wizardry 7"	"1"
"Wold of Tanks"	"1"
"Wolfenstein : The New Order"	"1"
"Wolfenstein new world oreder"	"1"
"Wolfenstein the new order Uncut"	"1"
"Wolfenstein TNO"	"1"
"Wolfenstein: New World Order"	"1"
"Wolfenstein: The New Order (Cut-Version)"	"1"
"Wolfenstein:The New Order"	"1"
"Word of Tanks"	"1"
"Workd Of Tanks"	"1"
"World Cruise Story"	"1"
"World In Conflict Soviet Assault"	"1"
"World of Tanks Blitz"	"1"
"Worms - Armageddon"	"1"
"Worms 2 Armageddon"	"1"
"Worms A"	"1"
"Worms Clan Wars"	"1"
"Worms: Armageddon"	"1"
"WRC Powerslide"	"1"
"WWE Smackdown vs Raw 2008"	"1"
"X - Beyond the Frontier "	"1"
"X Superbox"	"1"
"X-Com Enemy Unknown (die Neuauflage)"	"1"
"X-Com Terror from the Deep"	"1"
"X-Com: Enemy Unknown"	"1"
"X-COM: Enemy Within"	"1"
"X-Plane"	"1"
"X-Rebirth"	"1"
"X-Wing (1993)"	"1"
"X:COM"	"1"
"X3 Gold Edition"	"1"
"X3 Terran Conflict"	"1"
"XCom (2013)"	"1"
"XCOM Enemy un known"	"1"
"XCom Enemy Unkown"	"1"
"XCom EU"	"1"
"Xcom Ufo Defense"	"1"
"XCOM-Enemy Unkwon"	"1"
"XIII"	"1"
"XStoryPlayer 3.0"	"1"
"Xulima"	"1"
"Yoshi Story"	"1"
"Yu-gi-oh worldwide edition"	"1"
"Zelda - A Link to the Past "	"1"
"Zelda a link to the past (snes)"	"1"
"Zelda Majorask Mask"	"1"
"Zelda Oracle of Ages"	"1"
"Zelda Twilight Princess"	"1"
"Zelda: The ocarina of time 3D"	"1"

