"Wert"	"n"	"sum"
"Turbo Dismount"	1	3058
"Trove"	1	3057
"Tropico 5"	1	3056
"Tropico 4"	1	3055
"Trine"	1	3052
"Trials: Frontier"	1	3047
"Trackmania Nations Forever"	1	3039
"TrackMania"	1	3036
"Tony Hawk's Pro Skater HD"	1	3005
"Tomb Raider: Definitive Edition"	1	3004
"Tomb Raider 2"	1	3003
"Titan Attacks!"	1	2969
"Thief"	1	2963
"The Witcher Adventure Game"	1	2949
"The Vanishing of Ethan Carter"	1	2912
"The Simpsons: Springfield"	1	2909
"The Ship"	1	2908
"The Saboteur"	1	2907
"The Legend of Zelda: Ocarina of Time"	1	2904
"The Legend of Zelda: A Link between Worlds"	1	2903
"The Last of Us: Remastered"	1	2902
"The Expandabros"	1	2889
"The Chronicles of Riddick: Escape from"	1	2757
"The Book of Unwritten Tales"	1	2756
"The Bard's Tale"	1	2691
"The Amazing Spider-Man"	1	2687
"The Amazing Spider-Man 2"	1	2688
"Tera Online"	1	2680
"Teleglitch"	1	2679
"Tekken"	1	2676
"Tekken Tag Tournament 2"	1	2678
"Tekken 6"	1	2677
"Teeworlds"	1	2675
"Team Fortress Classic"	1	2674
"Tales of Symphonia: Dawn of the New World"	1	2650
"Survarium"	1	2645
"Supreme Commander: Forged Alliance"	1	2641
"Supreme Commander 2"	1	2640
"Super Smash Bros. Melee"	1	2639
"Super Mario Galaxy"	1	2623
"Super Mario Bros. 2"	1	2622
"Sudoku Free"	1	2616
"Subway Surfers"	1	2615
"Subway Surfer"	1	2614
"Streetpass Mii-Lobby"	1	2606
"SteamWorld Dig"	1	2603
"Stargate: Resistance"	1	2600
"Starbound"	1	2599
"Star Made"	1	2570
"Spintires"	1	2560
"Sonic & All-Stars Racing Transformed"	1	2540
"Sniper Elite V2"	1	2539
"Sniper Elite 3"	1	2538
"Simcity 2000 (1994)"	1	2529
"SimCity 4"	1	2528
"Sim City (2013)"	1	2527
"Shin Megami Tensei: Persona 4"	1	2493
"Shakes and Fidget"	1	2492
"Shadow Warrior"	1	2490
"Shadow Warrior (2013)"	1	2491
"Serious Sam 3: BFE"	1	2487
"Sacred"	1	2468
"S.T.A.L.K.E.R.: Call of Pripyat"	1	2464
"S.N.O.W."	1	2463
"S.K.I.L.L.-Special Force 2"	1	2462
"Runes of Magic"	1	2457
"Rome: Total War"	1	2456
"RollerCoaster Tycoon 2"	1	2455
"Rocksmith 2014"	1	2450
"Robocraft"	1	2449
"Resident Evil 5"	1	2434
"Red Faction: Guerrilla"	1	2430
"Rage"	1	2426
"RETRY"	1	2425
"RESOGUN"	1	2424
"R.U.S.E."	1	2423
"Quake"	1	2420
"Psychonauts"	1	2419
"Project Zomboid"	1	2418
"Prison Rape Simulator 2014"	1	2415
"Prison Architect"	1	2414
"Primal Carnage: Extinction"	1	2413
"Pok??mon: Smaragd-Edition"	1	2398
"Pok??mon: Silberne Edition"	1	2396
"Pok??mon: Silberne Edition SoulSilver"	1	2397
"Pok??mon Omega Rubin"	1	2365
"Pok??mon Mystery Dungeon: Erkundungsteam Himmel"	1	2364
"Pixel Dungeon"	1	2348
"Persona 4: The Ultimax Ultra Suplex Hold"	1	2334
"Penumbra: Overture"	1	2333
"Peggle"	1	2332
"Outlaws"	1	2273
"Orcs Must Die! 2"	1	2265
"One Piece: Pirate Warriors 2"	1	2264
"One Finger Death Punch"	1	2263
"Octodad: Dadliest Catch"	1	2262
"OMSI 2"	1	2261
"Nosgoth"	1	2260
"Nobunaga's Ambition: Souzou"	1	2259
"No More Room In Hell"	1	2258
"Nickelodeon's The Legend of Korra"	1	2257
"Ni No Kuni"	1	2256
"Next Car Game: Wreckfest"	1	2255
"New Super Mario Bros. U"	1	2254
"Need for Speed: The Run"	1	2248
"Need for Speed: Most Wanted (Origin)"	1	2243
"Need For Speed"	1	2238
"Natural Selection 2"	1	2237
"Naruto Shippuden: Ultimate Ninja Storm Revolution"	1	2236
"Naruto Shippuden: Ultimate Ninja Storm 3"	1	2235
"NHL 14"	1	2230
"NASCAR '14"	1	2222
"Murdered: Soul Suspect"	1	2221
"Mortal Kombat (2011)"	1	2209
"Monster Hunter 3 Ultimate"	1	2206
"Monaco: What's Yours is Mine"	1	2205
"Minimum"	1	2179
"Metro: Last Light"	1	2114
"Metro: Last Light Redux"	1	2115
"Metro 2033 Redux"	1	2113
"Metal Slug 3"	1	2110
"Metal Gear Solid 5: Ground Zeroes"	1	2109
"Metal Gear Rising: Revengeance"	1	2104
"Mega Man 3"	1	2101
"Medieval: Total War"	1	2100
"Manhunt 2"	1	2065
"Madden nfl 13"	1	2059
"Madden NFL 25"	1	2058
"Madden NFL 15"	1	2057
"Lost Horizon"	1	2056
"LittleBigPlanet: Karting"	1	2052
"Little Big Planet 2"	1	2048
"Lichdom: Battlemage"	1	2047
"Lego Star Wars: The Complete Saga"	1	2046
"Legacy of Kain: Soul Reaver"	1	2045
"Landwirtschafts-Simulator 2014"	1	1932
"Landwirtschafts-Simulator 2013"	1	1931
"LIMBO"	1	1930
"LEGO: Der Hobbit"	1	1929
"LEGO Marvel Super Heroes"	1	1928
"LEGO Batman: The Videogame"	1	1927
"LEGO Batman 3: Beyond Gotham"	1	1926
"L.A. Noire"	1	1925
"KnightShift"	1	1924
"Killzone: Shadow Fall"	1	1918
"Kane & Lynch: Dead Men"	1	1900
"Just Cause"	1	1893
"Jazzpunk"	1	1892
"Jade Empire"	1	1891
"InFamous: First Light"	1	1876
"I am Bread"	1	1875
"Hyrule Warriors"	1	1874
"How to Survive"	1	1873
"Hill Climb Racing"	1	1864
"Heroes of the Storm"	1	1863
"Heroes of Might and Magic V"	1	1862
"Heroes of Dragon Age"	1	1861
"Hero Siege"	1	1860
"Halo 4"	1	1827
"Halo 3"	1	1826
"Half-Life: Source"	1	1815
"Guns of Icarus Online"	1	1797
"Guitar Hero"	1	1796
"Grotesque Tactics 2: Dungeons and Donut"	1	1783
"Grid Autosport"	1	1782
"Grand Theft Auto III"	1	1672
"God of War II"	1	1659
"Gears of War 2"	1	1651
"Game Of Thrones Ascent"	1	1616
"Game Dev Tycoon"	1	1615
"Galactic Civilizations III"	1	1614
"Fu??ball Manager 13"	1	1606
"Forza Horizon"	1	1587
"Formel 1 2011"	1	1586
"Flight Control"	1	1585
"Five Nights at Freddy's"	1	1584
"Fistful of Frags"	1	1583
"Firefall"	1	1582
"Fire Emblem: Path of Radiance"	1	1581
"Fire Emblem: Awakening"	1	1580
"Fez"	1	1571
"Far Cry 3: Blood Dragon"	1	1491
"FIFA World"	1	1419
"F1 Challenge 99-02"	1	1338
"F1 2011"	1	1332
"Evoland: A Short Story of Adventure Video Game"	1	1331
"Endless Legend"	1	1293
"Emergency 5"	1	1282
"Emergency 2014"	1	1278
"Elite: Dangerous"	1	1277
"Electronic Super Joy"	1	1276
"Edna bricht aus"	1	1275
"Earn to Die"	1	1274
"EVE Online"	1	1273
"Dustforce"	1	1269
"Dust: An Elysian Tail"	1	1268
"Dungeon Siege II"	1	1267
"Dungeon Hunter 4"	1	1264
"Dungeon Defenders"	1	1262
"Dungeon Defenders II"	1	1263
"Duke Nukem Forever"	1	1261
"Driver: San Francisco"	1	1260
"Drakensang Online"	1	1254
"Dragon Quest IX"	1	1251
"Dragon Age Inquisition"	1	1176
"DotA 1"	1	1138
"Doodle Jump"	1	1137
"Donkey Kong Country: Tropical Freeze"	1	1136
"Divinity: Original Sin"	1	1129
"Disney Infinity: 2.0 Edition"	1	1128
"Dirt: Showdown"	1	1117
"Dirks kostenloser Fussballmanager"	1	1113
"Die Sielder - Das Erbe der K??nige"	1	1102
"Die Siedler 7"	1	1101
"Die Kunst des Mordens: Geheimakte FBI"	1	1100
"Diablo"	1	1083
"Devil May Cry"	1	1082
"Der Herr der Ringe: Die Schlacht um Mittelerde"	1	1047
"Der Herr der Ringe: Die Schlacht um Mittelerde 2"	1	1048
"Der Herr der Ringe Online"	1	1046
"Depth"	1	1045
"Deponia"	1	1044
"Defender's Quest: Valley of the Forgotten"	1	1040
"Deadfall Adventures"	1	1039
"Dead Space 2"	1	1038
"Dead Island: Riptide"	1	1033
"Dawn of War"	1	1018
"Dawn of War II"	1	1019
"Darksiders"	1	1014
"Dark Souls - Prepare to Die Edition"	1	1005
"DC Universe Online"	1	992
"DARK"	1	991
"Cytus"	1	990
"Cut The Rope 2"	1	989
"Crysis 2"	1	982
"Crazy Taxi"	1	976
"Craft The World"	1	975
"Contagion"	1	797
"Combat Arms"	1	770
"Castle Clash"	1	743
"Call of Juarez"	1	742
"Call of Duty: World at War"	1	741
"Call of Duty 3"	1	644
"Call of Duty 2"	1	643
"Bully: Scholarship Edition"	1	628
"Bulletstorm"	1	627
"Br??tal Legend"	1	621
"Boom Beach"	1	577
"Black & White 2"	1	574
"Bit.Trip.Runner"	1	572
"Bit.Trip.Runner 2"	1	573
"BeamNG.drive"	1	550
"Bayonetta"	1	548
"Bayonetta 2"	1	549
"Battlefield Play4Free"	1	536
"Battlefield Heroes"	1	535
"Bastion"	1	370
"Baldur's Gate 2: Schatten von Amn"	1	366
"Badland (2013)"	1	365
"Bad Piggies"	1	364
"Awesomenauts"	1	363
"Aura Kingdom"	1	362
"Audiosurf 2"	1	358
"Assetto Corsa"	1	357
"Army of Two"	1	188
"ArcheAge"	1	130
"Anstoss 3"	1	127
"Anno Online"	1	126
"Anno 1602: Erschaffung einer neuen Welt"	1	119
"Anno 1503"	1	118
"Angry Birds Rio"	1	110
"Amazing Ninja"	1	109
"Always Sometimes Monsters"	1	108
"Alpha Protocol"	1	107
"Aliens: Colonial Marines"	1	106
"Alice: Madness Returns"	1	95
"Alarm f??r Cobra 11: Das Syndikat"	1	94
"Aion"	1	88
"Age of Mythology"	1	85
"Age of Empires"	1	73
"Age of Empires III"	1	84
"Ace of Spades"	1	72
"AVA - Alliance of Valiant Arms"	1	71
"A New Beginning"	1	70
"A Game of Dwarves"	1	69
"3 Gewinnt (Big Fish)"	1	65
"100% Orange Juice"	1	64
"(???) naruto ultimate ninja storm"	1	63
"(???) naruto shippuden ultimate ninja storm"	1	62
"(???) Wipe Out"	1	61
"(???) Total War"	1	60
"(???) The Elder Scrolls: Oblivion/Skyrim"	1	59
"(???) The Chronicles of Riddick"	1	58
"(???) South Park"	1	54
"(???) Mass Effect Trilogy"	1	48
"(???) Mario Party"	1	47
"(???) Madden"	1	44
"(???) Landwirtschaftssimulator"	1	43
"(???) Landwirtschafts -Simulator"	1	42
"(???) Ich hasse Frauen"	1	41
"(???) Genius Unternehmen Physik"	1	40
"(???) Far Cry Reihe"	1	31
"(???) Family Guy"	1	30
"(???) Dragon Agentur 3"	1	29
"(???) Doto.2"	1	28
"(???) Civilization"	1	27
"(???) Call of Duty Advanced Warfigher"	1	26
"(???) Battlefield 3/4"	1	25
"(???) Batman"	1	20
"(???) BF23"	1	19
"(???) Avatar"	1	18
