"Titel"	"Kommentar"
"Skull Girls"	""
"Skylanders: Trap Team"	""
"Slenderman"	""
"Small World"	""
"Smite"	""
"Smugglers 5"	""
"Sniper Elite 3"	""
"Söldner – Secret Wars"	""
"SolForge"	""
"Sonic Boom: Rise of Lyric"	""
"Space Age: A Game of Space Adventure"	""
"Space Engieeners"	""
"Space Hulk: Ascension Edition"	""
"Space Run"	""
"Space Trader (Eigenproduktion)"	""
"Spider Solitaire"	""
"Spider-Man Unlimited"	""
"Spin Tires"	""
"Spirit Stones"	""
"Split Second: Velocity"	""
"Star Citizen"	""
"Star Conflict"	""
"Star Made"	""
"Star Pirates"	""
"Star Wars Jedi Knight: Jedi Academy"	""
"Star Wars: Commander"	""
"Star Wars: Episode III – Die Rache der Sith"	""
"Star Wars: Force Collection"	""
"Star Wars: Jedi Knight 2: Jedi Outcast"	""
"Star Wars: The Battle of Endor"	""
"Star Wars: The Force Unleashed 2"	""
"Star Wars: Tiny Death Star"	""
"Starwhal"	""
"Steins;Gate"	""
"Stick Hero"	""
"Stonehearth"	""
"Strategic Command Global Conflict"	""
"Strategic Command World War 1"	""
"Streetpass Mii-Lobby"	""
"Stronghold Crusader"	""
"Stronghold Crusader 2"	""
"Stronghold Crusader HD"	""
"Subway Surfer"	""
"Subway Surfers"	""
"Sudoku Free"	""
"Summoners War: Sky Arena"	""
"Sunless Sea"	""
"Sunrider"	""
"Super Smash Bros Wii U"	""
"Super Street Fighter V"	""
"Survarium"	""
"SWAT 3"	""
"Tactical Ops"	""
"Tales from the Borderlands"	""
"Tales of Aravorn: Seasons Of The Wolf"	""
"Tangled"	""
"Teeworlds"	""
"Teleglitch"	""
"Temple Run"	""
"Temple Run 2"	""
"Tera Online"	""
"Terra Battle"	""
"Tetris Ultimate"	""
"Texas Hold'Em King 2"	""
"The Age of Decadence"	""
"The Battle for Wesnoth"	""
"The Binding of Isaac. Rebirth"	""
"The Curious Expedition"	""
"The Escapist"	""
"The Expandabros"	""
"The G.G. Shinobi"	""
"The Last Of Us: Factions"	""
"The Last of Us: Remastered"	""
"The Last Tinker: City of Colors"	""
"The Masterplan"	""
"The Organ Trail"	""
"The Sailor's Dream"	""
"The Secret of Monkey Island - Special Edition"	""
"The Simpsons: Springfield"	""
"The Simpsons: Tapped Out"	""
"The Talos Principle"	""
"The Thirty-Nine Steps"	""
"The Walking Dead"	""
"the walking dead telltall"	""
"The Wolf Among Us"	""
