"Wert"	"n"	"sum"
"Chess 2 - The Sequel	1	3433
"Child of Light	14	3447
"Children of Mana	1	3448
"Chivalry: Medieval Warfare	17	3465
"Chrono Trigger	1	3466
"Circuits	1	3467
"Cities XL Platinum	1	3468
"Cities in Motion	1	3469
"Cities in Motion 2	1	3470
"Civ. Beyond Earth	1	3471
"Civilization Beyond Earth	1	3472
"Civilization Revolution	1	3473
"Clash of Clans	47	3520
"Clicker heroes	1	3521
"Clonk Rage	1	3522
"ClusterPuck 99	1	3523
"Cognition: An Erica Reed Thriller	1	3524
"Combat Arms	1	3525
"Command & Conquer	5	3530
"Command & Conquer: Alarmstufe Rot 3	2	3532
"Command & Conquer: Generals	4	3536
"Command & Conquer: Renegade	1	3537
"Command & Conquer: Tiberian Sun	1	3538
"Command & Conquer: Tiberium Alliances	1	3539
"Command and Conquer 3: Tiberium Wars	11	3550
"Company of Heroes	23	3573
"Company of Heroes 2	66	3639
"Construction Simulator 2015	1	3640
"Contagion	2	3642
"Cook, Serve, Delicious!	1	3643
"Cookie Clicker	1	3644
"CosmicBreak	1	3645
"Cosmonautica	1	3646
"Costume Quest	1	3647
"Costume Quest 2	1	3648
"Counter-Strike	64	3712
"Counter-Strike: Global Offensive	344	4056
"Counter-Strike: Source	32	4088
"Craft The World	6	4094
"Crash Bandicoot 2	1	4095
"Crawl	1	4096
"Crazy Taxi	1	4097
"Creeper World 3 - Knuckle Cracker	2	4099
"Crime City	1	4100
"Criminal Case	1	4101
"Crimson Shroud	1	4102
"Crimsonland	2	4104
"Croqinole	1	4105
"Crusader Kings II	40	4145
"Cry of Fear	1	4146
"Crypt of the NecroDancer	1	4147
"Crysis	8	4155
"Crysis 2	6	4161
"Crysis 3	13	4174
"Curve Fever	2	4176
"Cut The Rope 2	2	4178
"Cytus	4	4182
"DARK	1	4183
"DC Universe Online	2	4185
"DCS: A-10C Warthog - Digital Combat Simulato	2	4187
"DCS: A-10C Warthog - Digital Combat Simulator	5	4192
"DTM Experience 2014	1	4193
"Daedelus	1	4194
"Danganronpa	1	4195
"Danganronpa 2: Goodbye Despair	1	4196
"Dark Age of Camelot	2	4198
"Dark Chronicle	1	4199
"Dark Messiah of Might and Magic	1	4200
"Dark Project 2: The Metal Age	1	4201
"Dark Project: Der Meisterdieb	2	4203
"Dark Raid	1	4204
"Dark Souls	49	4253
"Dark Souls - Prepare to Die Edition	2	4255
"Dark Souls II	67	4322
"Darkest of Days	1	4323
"Darkfall Online	1	4324
"Darkness Reborn	1	4325
"Darkness Within: In Pursuit of Loath No	2	4327
"Darksiders	5	4332
"Darksiders 2	17	4349
"Darwinia	1	4350
"Das Schwarze Auge: Blackguards	9	4359
"Das Schwarze Auge: Demonicon	2	4361
"Das Schwarze Auge: Drakensang	4	4365
"Das Schwarze Auge: Satinavs Ketten	1	4366
"Dawn of War	3	4369
"Dawn of War II	5	4374
"Day of Defeat	2	4376
"Day of Defeat: Source	10	4386
"DayZ Standalone	28	4414
"Daylight	1	4415
"Dead Island	21	4436
"Dead Island: Epidemic	10	4446
"Dead Island: Riptide	5	4451
"Dead Rising	2	4453
"Dead Rising 3	21	4474
"Dead Space	5	4479
"Dead Space 2	3	4482
"Dead Space 3	2	4484
"Dead State	8	4492
"DeadCore	2	4494
"Deadfall Adventures	2	4496
"Deadlight	1	4497
"Deadly Premonition	4	4501
"Deadpool	4	4505
"Dear Esther	1	4506
"Defender's Quest: Valley of the Forgotten	2	4508
"Defense Grid 2	8	4516
"Defense Grid: The Awakening	3	4519
"Defiance	6	4525
"Defy Gravity	1	4526
"Deliverance-Kingdome Comes Tech Alpha	1	4527
"Delta Force: Black Hawk Down	1	4528
"Delver	1	4529
"Democracy 3	6	4535
"Demon's Souls	10	4545
"Deponia	15	4560
"Deponia - the Complete Journey	1	4561
"Deponia: The Complete Journey	3	4564
"Depth	2	4566
"Der Herr der Ringe Online	12	4578
"Der Herr der Ringe: Der Krieg im Norden	2	4580
"Der Herr der Ringe: Die Schlacht um Mit	1	4581
"Der Herr der Ringe: Die Schlacht um Mitteler	1	4582
"Der Herr der Ringe: Die Schlacht um Mittelerde	2	4584
"Der Herr der Ringe: Die Schlacht um Mittelerde 2	1	4585
"Der Puppenspieler	1	4586
"Desperados: Wanted Dead or Alive	1	4587
"Despicable Me: Minion Rush	1	4588
"Destiny	176	4764
"Deus Ex	8	4772
"Deus Ex: Human Revolution	20	4792
"Deus Ex: The Fall	1	4793
"Devil May Cry	5	4798
"Devil's Attorney	1	4799
"Diablo	4	4803
"Diablo II	8	4811
"Diablo III	273	5084
"Die Gilde	1	5085
"Die Kunst des Mordens: Geheimakte FBI	1	5086
"Die Siedler 7	6	5092
"Die Siedler II	1	5093
"Die Siedler II – Die nächste Generation	1	5094
"Die Siedler III	3	5097
"Die Siedler IV	1	5098
"Die Siedler Online	4	5102
"Die Siedler – Aufstieg eines Königre	1	5103
"Die Siedler – Aufstieg eines Königreichs	1	5104
"Die Sielder - Das Erbe der Könige	1	5105
"Die Sims 2	3	5108
"Die Sims 3	11	5119
"Die Sims 4	29	5148
"Die Stämme	2	5150
"Dino D-Day	2	5152
"Dirks kostenloser Fussballmanager	1	5153
"Dirt 2	3	5156
"Dirt 3	5	5161
"Dirt: Showdown	2	5163
"Dirty Bomb	1	5164
"Dishonored: Die Maske des Zorns	39	5203
"Disney Infinity	1	5204
"Disney Infinity: 2.0 Edition	5	5209
"Distant Worlds	2	5211
"Divine Divinity	1	5212
"Divinity 2: Ego Draconis	3	5215
"Divinity: Original Sin	45	5260
"Dofus	2	5262
"Dogfight 1942	2	5264
"Don't Starve	29	5293
"Donkey Kong Country	1	5294
"Donkey Kong Country Returns	1	5295
"Donkey Kong Country: Tropical Freeze	2	5297
"Doodle God	1	5298
"Doodle Jump	1	5299
"Doom	1	5300
"Doom & Destiny	1	5301
"Doom 2	1	5302
"Doom 3	1	5303
"Door Kickers	1	5304
"Doppelkopf	1	5305
"DotA 1	1	5306
"Dota 2	131	5437
"Downfall	2	5439
"Dragon Age II	28	5467
"Dragon Age Inquisition	1	5468
"Dragon Age. Inquisition	2	5470
"Dragon Age: Inquisition	521	5991
"Dragon Age: Origins	143	6134
"Dragon Ball Z: Budokai Tenkaichi 2	1	6135
"Dragon Quest	1	6136
"Dragon Quest IX	1	6137
"Dragon's Crown	1	6138
"Dragon's Dogma	6	6144
"Drakengard 3	1	6145
"Drakensang Online	2	6147
"Dreamfall Chapters: The Longest Journey	10	6157
"Driftmoon	1	6158
"Driveclub	33	6191
"Driver: San Francisco	2	6193
"Drunken Robot Pornography	1	6194
"DuckTales: Remastered	2	6196
"Ducktales	1	6197
"Duke Nukem 3D	4	6201
"Duke Nukem Forever	5	6206
"Duke Nukem: Land of the Babes	1	6207
"Duke Nukem: Manhattan Project	1	6208
"Duke Nukem: Time to Kill	1	6209
"Dungeon Defenders	3	6212
"Dungeon Defenders II	3	6215
"Dungeon Hunter 3	1	6216
"Dungeon Hunter 4	2	6218
"Dungeon Hunter: Alliance	1	6219
"Dungeon Keeper	4	6223
"Dungeon Keeper 2	4	6227
"Dungeon Raid	1	6228
"Dungeon Siege II	2	6230
"Dungeon Siege III	2	6232
"Dungeon Village	1	6233
"Dungeon of Slyn	1	6234
"Dungeon of the Endless	13	6247
"Dungeons & Dragons: Neverwinter	11	6258
"Dungeons of Dredmor	2	6260
"Dust 514	1	6261
"Dust: An Elysian Tail	5	6266
"Dustforce	2	6268
"Dwarf Fortress	2	6270
"Dynasty Warriors 8	6	6276
"E.Y.E: Divine Cybermancy	1	6277
"EA Sports UFC	1	6278
"EDGE Extended	1	6279
"EVE Online	26	6305
"Eador: Genesis	2	6307
"Eador: Masters of the Broken World	1	6308
"Earn to Die	1	6309
"Earth Defense Force 2025	1	6310
"East India Company	1	6311
"Edge of Space	1	6312
"Edna bricht aus	2	6314
"Elder Sign: Omens	2	6316
"Electronic Super Joy	1	6317
"Elite	1	6318
"Elite: Dangerous	36	6354
"Elsword	1	6355
"Emergency 2014	2	6357
"Emergency 4	6	6363
"Emergency 5	8	6371
"Emoji Quiz	1	6372
"Empire Earth	3	6375
"Empire: Total War	13	6388
"Endless Dungeon	1	6389
"Endless Legend	17	6406
"Endless Space	11	6417
"Enemy Front	2	6419
"English Country Tune	1	6420
"Enslaved: Odyssey to the West	17	6437
"Epic Cards Battle	1	6438
"Escape Dead Island	1	6439
"Escape Plan	1	6440
"Eschalon	1	6441
"Estraged	1	6442
"Etrian Odyssey	1	6443
"Eufloria HD	1	6444
"Euro Truck Simulator	4	6448
"Euro Truck Simulator 2	42	6490
"Euro Truck Simulator 2013	1	6491
"Euro Trucksimulator 2014	1	6492
"Europa Universalis	6	6498
"Europa Universalis III	2	6500
"Europa Universalis IV	79	6579
"EverQuest II	2	6581
"Evil Genius	1	6582
"Evochron Mercenary	1	6583
"Evoland: A Short Story of Adventure Video Game	1	6584
"Evolve	2	6586
"Expeditions: Conquistador	2	6588
"F-Zero GX	1	6589
"F.E.A.R. 2	1	6590
"F.E.A.R. 3	1	6591
"F1 2011	1	6592
"F1 2013	4	6596
"F1 2014	7	6603
"F1 Challenge 99-02	1	6604
"F1 Race Stars	1	6605
"FIFA 12	3	6608
"FIFA 13	11	6619
"FIFA 14	39	6658
"FIFA 15	258	6916
"FIFA World	4	6920
"FORCED	2	6922
"FTL: Faster Than Light	41	6963
"Fable 2	1	6964
"Fable Anniversary	1	6965
"Fable III	1	6966
"Factorio	6	6972
"Faery - Legends of Avalon	1	6973
"Falcon 4.0	1	6974
"Fallout	5	6979
"Fallout 2	5	6984
"Fallout 3	31	7015
"Fallout: New Vegas	44	7059
"Family Guy: Mission Sachensuche	2	7061
"Fantasia: Mickey Mouse Magic	1	7062
"Fantasy Life	13	7075
"Far Cry	15	7090
"Far Cry 2	12	7102
"Far Cry 3	136	7238
"Far Cry 3: Blood Dragon	13	7251
"Far Cry 4	451	7702
"Far cry 4	1	7703
"FarmVille	1	7704
"Farmville 2	2	7706
"Farmville Heroes	1	7707
"Fat Princess: Piece of Cake	1	7708
"Fate/Stay Night	1	7709
"Façade	1	7710
"Fez	3	7713
"Final Fantasy	6	7719
"Final Fantasy II	1	7720
"Final Fantasy III	1	7721
"Final Fantasy V	1	7722
"Final Fantasy VI	1	7723
"Final Fantasy VII	9	7732
"Final Fantasy VIII	2	7734
"Final Fantasy X	6	7740
"Final Fantasy X HD Remaster	8	7748
"Final Fantasy XIII	26	7774
"Final Fantasy XIII-2	3	7777
"Final Fantasy XIV: A Realm Reborn	22	7799
"Final Fight	1	7800
"Final Horizon	1	7801
"Fire Emblem: Awakening	6	7807
"Fire Emblem: Path of Radiance	1	7808
"Firefall	5	7813
"Fist of Awesome	1	7814
"Fistful of Frags	2	7816
"Five Nights at Freddy's	3	7819
"Flappy Crush	1	7820
"FlatOut 2	2	7822
"Flight Control	1	7823
"Flight of the Amazon Queen	1	7824
"Floating Point	1	7825
"Flow Free: Bridges	1	7826
"Football Manager 2014	1	7827
"Football Manager 2015	1	7828
"Forge Quest	1	7829
"Forge of Empires	1	7830
"Formel 1 2011	1	7831
"Fortix 2	1	7832
"Fortnite	1	7833
"FortressCraft Evolved!	1	7834
"Forza Horizon	4	7838
"Forza Horizon 2	62	7900
"Forza Motorsport 4	6	7906
"Forza Motorsport 5	17	7923
"Fractured Space	1	7924
"Framed	1	7925
"FreeCell	1	7926
"Freecol	1	7927
"Freedom Wars	1	7928
"Freelancer	3	7931
"Frets on Fire	1	7932
"From the Depth	1	7933
"Frozen Synapse	4	7937
"Frozen: Olaf's Quest	1	7938
"Fruit Ninja	1	7939
"Fuchstreff: Doppelkopf für Füchse	1	7940
"Full Mojo Rampage	2	7942
"Fussball Manager 12	4	7946
"Fussball Manager 13	5	7951
"Fussball Manager 14	2	7953
"Fußball Manager 13	2	7955
"Fußball Manager 14	1	7956
"Fußball manager 13	1	7957
"GODUS	6	7963
"GRID 2	18	7981
"Gabriel Knight: Sins of the Fathers	1	7982
"Gabriel Knight: Sins of the Fathers 20t	1	7983
"Galactic Civilizations II	1	7984
"Galactic Civilizations III	3	7987
"Galaxy on Fire	1	7988
"Game Dev Tycoon	6	7994
"Game Of Thrones Ascent	1	7995
"Game of Thrones	55	8050
"Gang Beasts	1	8051
"Gangsters: Organized Crime	1	8052
"Gardenscape	1	8053
"Garry's Mod	47	8100
"Gas Guzzlers Extreme	1	8101
"Gauntlet	8	8109
"Gear Up	1	8110
"Gears of War	4	8114
"Gears of War 2	3	8117
"Gears of War 3	5	8122
"Geheimakte 2: Puritas Cordis	1	8123
"Geheimakte 3	3	8126
"Geheimakte Tunguska	2	8128
"Geheimakte: Sam Peters	1	8129
"Gender Bender DNA Twister Extreme	1	8130
"Geometry Dash	3	8133
"Geometry Wars 3: Dimensions	5	8138
"Ghost Recon: Future Soldier	1	8139
"Giana Sisters: Twisted Dreams (Limited Editi	2	8141
"Giana Sisters: Twisted Dreams (Limited Edition)	1	8142
"Goat Simulator	19	8161
"God Mode	1	8162
"God of War	2	8164
"God of War II	1	8165
"Gods Will Be Watching	1	8166
"Godville	1	8167
"Goldeneye 007 (n64)	1	8168
"Goodbye Deponia	1	8169
"Goodgame Empire	1	8170
"Gothic	12	8182
"Gothic 3	19	8201
"Gothic II	26	8227
"Gothic II - Die Nacht des Raben	1	8228
"Gran Turismo 5	2	8230
"Gran Turismo 6	12	8242
"Grand Theft Auto	13	8255
"Grand Theft Auto III	3	8258
"Grand Theft Auto IV	32	8290
"Grand Theft Auto V	413	8703
"Grand Theft Auto: San Andreas	14	8717
"Grand Theft Auto: Vice City	3	8720
"Gray Matter	1	8721
"Great Big war game	1	8722
"Grid Autosport	14	8736
"Grim Dawn	1	8737
"Grotesque Tactics 2: Dungeons and Donut	1	8738
"Guacamelee!	3	8741
"Guild Wars	1	8742
"Guild Wars 2	97	8839
"Guilty Gear Xrd	1	8840
"Guitar Hero	1	8841
