"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Bully: Scholarship Edition (2008)"	1	25158
"Caesar III ()"	1	25159
"Castlestorm (2013)"	1	25160
"Ceville (2009)"	1	25161
"Chaos auf Deponia (2012)"	1	25162
"Chess 2 - The Sequel (2014)"	1	25163
"Children of Mana (2006)"	1	25164
"Cities in Motion 2 (2013)"	1	25165
"Clonk Rage (2007)"	1	25166
"Command & Conquer: Tiberian Sun (2006)"	1	25167
"DARK (2013)"	1	25168
"Daedelus (2014)"	1	25169
"Danganronpa 2: Goodbye Despair (2014)"	1	25170
"Dark Messiah of Might and Magic (2006)"	1	25171
"Daylight (2014)"	1	25172
"Defy Gravity (2011)"	1	25173
"Delta Force: Black Hawk Down (2002)"	1	25174
"Delver (2013)"	1	25175
"Disney Infinity (2013)"	1	25176
"Donkey Kong Country Returns (2010)"	1	25177
"Doodle God (2015)"	1	25178
"Doom (1993)"	1	25179
"DotA 1 (2002)"	1	25180
"Drakengard 3 (2014)"	1	25181
"Drunken Robot Pornography (2014)"	1	25182
"Ducktales ()"	1	25183
"Duke Nukem: Time to Kill (1998)"	1	25184
"Dungeon Hunter 3 (.)"	1	25185
"EA Sports UFC (2014)"	1	25186
"Eador: Masters of the Broken World (2013)"	1	25187
"Emoji Quiz (.)"	1	25188
"English Country Tune (2011)"	1	25189
"Epic Cards Battle (2015)"	1	25190
"Evoland: A Short Story of Adventure Video Games Evolution (GOG) (2013)"	1	25191
"F.E.A.R. 2 (2009)"	1	25192
"F1 Race Stars (2012)"	1	25193
"Fable 2 (2008)"	1	25194
"Faery - Legends of Avalon (2010)"	1	25195
"Farmville Heroes (.)"	1	25196
"Final Horizon (2014)"	1	25197
"Flight of the Amazon Queen (1995)"	1	25198
"Football Manager 2014 (2013)"	1	25199
"FortressCraft Evolved! (.)"	1	25200
"Freedom Wars (2014)"	1	25201
"From the Depth (2014)"	1	25202
"Frozen: Olaf's Quest (.)"	1	25203
"Gabriel Knight: Sins of the Fathers ()"	1	25204
"Game Of Thrones Ascent (2013)"	1	25205
"Gear Up (2015)"	1	25206
"Geheimakte 2: Puritas Cordis (2010)"	1	25207
"God of War II (2007)"	1	25208
"Grim Dawn (.)"	1	25209
"Gunman Chronicles (2000)"	1	25210
"Halo: Combat Evolved Anniversary (2011)"	1	25211
"Hazard Ops (2014)"	1	25212
"Heroes of Might and Magic 2 (1997)"	1	25213
"Hexcells Plus (2014)"	1	25214
"Horizon (2014)"	1	25215
"IL-2 Sturmovik: Cliffs of Dover (2011)"	1	25216
"Invisible Inc. (2014)"	1	25217
"Kentucky Road Zero ()"	1	25218
"King of Dragon Pass (1999)"	1	25219
"LEGO City Undercover (2013)"	1	25220
"LEGO Pirates of the Caribbean (2011)"	1	25221
"Letter Quest: Grimm's Journey (2014)"	1	25222
"Luigi's Mansion (2001)"	1	25223
"Lux Touch (.)"	1	25224
"Madden nfl 13 (2012)"	1	25225
"MagnaCarta 2 (.)"	1	25226
"Manhunt 2 ()"	1	25227
"Merchants of Kaidan (2014)"	1	25228
"Metal Gear Solid: Peace Walker (2010)"	1	25229
"Might & Magic VI: The Mandate of Heaven (1998)"	1	25230
"Might & Magic X: Legacy (2014)"	1	25231
"Minetest (2011)"	1	25232
"MiniDayZ (2014)"	1	25233
"Monstermind (2012)"	1	25234
"My Little Pony: Friendship Is Magic (2012)"	1	25235
"NEO Scavenger (.)"	1	25236
"Nation Red (2009)"	1	25237
"Need for Speed: The Crew ()"	1	25238
"Need for Speed: Underground 2 (2004)"	1	25239
"New Super Luigi U (2013)"	1	25240
"NotTetris ()"	1	25241
"Otomaid @ Cafe (2013)"	1	25242
"Pathfinder Online (3000)"	1	25243
"Picmi (.)"	1	25244
"Picross E4 (2014)"	1	25245
"Pikmin (2001)"	1	25246
"Plants vs. Zombie (2009)"	1	25247
"Play Epic Battle Fantasy 4 (2014)"	1	25248
"Prison Rape Simulator 2014 ()"	1	25249
"Professor Layton und das Geheimnisvolle Dorf (2007)"	1	25250
"Prototype 2 (2012)"	1	25251
"Quantum Conundrum (2012)"	1	25252
"Rambo: The Video Game (2014)"	1	25253
"Ratchet & Clank Future: A Crack in Time (2009)"	1	25254
"Ravaged Zombie Apocalypse (2013)"	1	25255
"ReRave (.)"	1	25256
"Red Faction (2001)"	1	25257
"Roads of Rome 3 (2012)"	1	25258
"Rules! (2014)"	1	25259
"Running with Rifles (.)"	1	25260
"Sacred Citadel (2013)"	1	25261
"Satellite Reign (2014)"	1	25262
"Scarlet Blade (2013)"	1	25263
"Secret Ponchos (2014)"	1	25264
"Secret of Evermore (1995)"	1	25265
"Shakes & Fidget (2009)"	1	25266
"Shaun White Snowboarding (2008)"	1	25267
"Silent Hunter 3 (2008)"	1	25268
"Simon the Sorcerer ()"	1	25269
"Singstar (2004)"	1	25270
"Skylanders Giants (.)"	1	25271
"Sly Cooper: Thieves in Time (2013)"	1	25272
"Smash Tennis (1994)"	1	25273
"Sonic Adventure DX (2003)"	1	25274
"SpellForce 2: Demons of the Past (2014)"	1	25275
"Spin Tires (2014)"	1	25276
"Spirits (2012)"	1	25277
"Star Pirates (.)"	1	25278
"Star Trek: Starfleet Academy (1997)"	1	25279
"Star Wars: The Force Unleashed 2 (2010)"	1	25280
"State of Decay: Breakdown (2013)"	1	25281
"Strategic Command Global Conflict (2010)"	1	25282
"Street Fighter Alpha 3 (2000)"	1	25283
"Super Street Fighter V (3000)"	1	25284
"Sword Art Online: Hollow Fragment (2014)"	1	25285
"Tales of Aravorn: Seasons Of The Wolf (2014)"	1	25286
"Tales of Symphonia: Dawn of the New World (2014)"	1	25287
"Tekken Tag Tournament (2000)"	1	25288
"Teleglitch: Die More Edition (2013)"	1	25289
"Terranigma (1996)"	1	25290
"The Bard's Tale (2005)"	1	25291
"The Curious Expedition (2015)"	1	25292
"The Escapist (.)"	1	25293
"The Expandabros (2014)"	1	25294
"The G.G. Shinobi (1991)"	1	25295
"The Legend of Zelda: Majora's Mask (2009)"	1	25296
"The Masterplan (.)"	1	25297
"The Organ Trail (1971)"	1	25298
"The Samaritan Paradox (2014)"	1	25299
"The Thirty-Nine Steps (2013)"	1	25300
"Theatrhythm Final Fantasy: Curtain Call (2014)"	1	25301
"Tomb Raider: Underworld (2008)"	1	25302
"Tony Hawk's Underground 2 (2004)"	1	25303
"Top Eleven (2010)"	1	25304
"Toybox Turbos (2014)"	1	25305
"Traffic Racer (.)"	1	25306
"Turbo Dismount (2014)"	1	25307
"Two Worlds II (2010)"	1	25308
"UFC Undisputed 3 (2012)"	1	25309
"Ultimate NES Remix (2014)"	1	25310
"Unholy Heights (2013)"	1	25311
"Vagrant Story (2000)"	1	25312
"Victim of Xen (2014)"	1	25313
"Völgarr the Viking (2014)"	1	25314
"Warmachine: Tactics (.)"	1	25315
"Way of the Samurai 4 (2012)"	1	25316
"Wizardry: Crusaders of the Dark Savant (1992)"	1	25317
"Worms: Clan Wars (2013)"	1	25318
"X: Beyond The Frontier (2010)"	1	25319
"XIII (2005)"	1	25320
"YGOPro DevPro (.)"	1	25321
"der herr der ringe schlacht um mittelerde (2004)"	1	25322
"mushroom garden (.)"	1	25323
"this war of mine (2014)"	1	25324
"(???) Bioshock 1&2 ()"	1	25325
"(???) C&C alle Teile ()"	1	25326
"(???) Call of Duty diverse ()"	1	25327
"(???) Dirt Sc ()"	1	25328
"(???) EA UFC Undisputed ()"	1	25329
"(???) Family Guy ()"	1	25330
"(???) Forza Motorsport ()"	1	25331
"(???) Genre: Shmups ()"	1	25332
"(???) God Of War 1+3 ()"	1	25333
"(???) Ich hasse Frauen ()"	1	25334
"(???) Lasers ()"	1	25335
"(???) Metroid Prime ()"	1	25336
"(???) Nhl ()"	1	25337
"(???) PacMan ()"	1	25338
"(???) Pirates ()"	1	25339
"(???) Postal ()"	1	25340
"(???) Ratchet & Clank ()"	1	25341
"(???) Siedler ()"	1	25342
"(???) Simsons ()"	1	25343
"(???) StarCraft II inkl. BroodWar ()"	1	25344
"(???) StarCraft III ()"	1	25345
"(???) Sudoku ()"	1	25346
"(???) Super Mario Bros. ()"	1	25347
"(???) Thief 1-3 ()"	1	25348
"(???) Tomb Raider - Alle Teile ()"	1	25349
"(???) Total War ()"	1	25350
"(???) Total War (Spielereihe) ()"	1	25351
"(???) Trine 1+2 ()"	1	25352
"(???) X:COM ()"	1	25353
"(???) empire ()"	1	25354
"(???) etliche Smartphone-Spiele ()"	1	25355
"(???) price grab ()"	1	25356
"(???) simpsons spiel fuer android ()"	1	25357
"8 Ball Pool Billard (.)"	1	25358
"80 days (.)"	1	25359
"Aarklash: Legacy (2013)"	1	25360
"Age of Conan ()"	1	25361
"Alien Hive (.)"	1	25362
"Alien Rage: Unlimited (2013)"	1	25363
"Aliens vs Predators (2010) (2010)"	1	25364
"Altitude (2009)"	1	25365
"Angry Birds Transformers (.)"	1	25366
"Angry Birds: Star Wars (2013)"	1	25367
"Anstoss 3 (2006)"	1	25368
"Arcania: Gothic 4 (2010)"	1	25369
"Armies of Exigo (2004)"	1	25370
"Assassins Creed Black Flag (2013)"	1	25371
"Badland (2013) (2005)"	1	25372
"Baphomets Fluch: Der Sündenfall (2013)"	1	25373
"Beasts of Prey (2014)"	1	25374
"Betrayer (2014)"	1	25375
"Biohazard rebirth ()"	1	25376
"Bit.Trip.Runner (2011)"	1	25377
"Blobby Volley (2000)"	1	25378
"Braveland (2014)"	1	25379
"Brink (2011)"	1	25380
"CSI: Hidden Crimes (.)"	1	25381
"Castle Crush (2009)"	1	25382
"CastleMiner Z (2014)"	1	25383
"Castlevania: Lords of Shadow - Mirror of Fate HD (2013)"	1	25384
"Catherine (2012)"	1	25385
"Chrono Trigger (2008)"	1	25386
"Crash Bandicoot 2 ()"	1	25387
"Crime City (2008)"	1	25388
"Dark Project 2: The Metal Age (.)"	1	25389
"Dark Raid (2014)"	1	25390
"Darkest of Days (2009)"	1	25391
"Darkfall Online (.)"	1	25392
"Devil's Attorney (.)"	1	25393
"Die Kunst des Mordens: Geheimakte FBI (2011)"	1	25394
"Donkey Kong Country (1994)"	1	25395
"Doom 3 (2005)"	1	25396
"Dragon Age Inquisition (2014)"	1	25397
"Dragon Quest (1986)"	1	25398
"Dragon Quest IX (2009)"	1	25399
"Duke Nukem: Land of the Babes (2000)"	1	25400
"E.Y.E: Divine Cybermancy (2011)"	1	25401
"Earn to Die (.)"	1	25402
"Elsword (.)"	1	25403
"Eufloria HD (.)"	1	25404
"Euro Truck Simulator 2013 (2008)"	1	25405
"Evil Genius (2004)"	1	25406
"Evochron Mercenary (2012)"	1	25407
"F1 2011 (2011)"	1	25408
"Fable Anniversary (2014)"	1	25409
"Fable III (2011)"	1	25410
"Fantasia: Mickey Mouse Magic (1991)"	1	25411
"Final Fight (1990)"	1	25412
"Fire Emblem: Path of Radiance (2005)"	1	25413
"Fist of Awesome (2013)"	1	25414
"Flappy Crush (.)"	1	25415
"Flight Control (2009)"	1	25416
"Floating Point (2014)"	1	25417
"Football Manager 2015 (2014)"	1	25418
"Formel 1 2011 (2011)"	1	25419
"Fortnite (2015)"	1	25420
"Framed (2014)"	1	25421
"FreeCell (2007)"	1	25422
"Fuchstreff: Doppelkopf für Füchse (.)"	1	25423
"Fußball Manager 14 (.)"	1	25424
"Gabriel Knight: Sins of the Fathers 20th Anniversary Edition (2014)"	1	25425
"Gardenscape (.)"	1	25426
"Gods Will Be Watching (2014)"	1	25427
"Gray Matter (2011)"	1	25428
"Grotesque Tactics 2: Dungeons and Donuts (2011)"	1	25429
"Guild Wars (2005)"	1	25430
"Halfway (2014)"	1	25431
"Heroes Charge (.)"	1	25432
"Highway Racer 3D (.)"	1	25433
"Homeworld (1999)"	1	25434
"Hoplite (2013)"	1	25435
"Hyperdimension Neptunia Re;Birth1 (2014)"	1	25436
"I Am Alive (2012)"	1	25437
"Ice Breaker (1995)"	1	25438
"Idle Oil Tycoon (.)"	1	25439
"Imouto Ijime (2009)"	1	25440
"InWorldz (2009)"	1	25441
"InflationRPG (.)"	1	25442
"Insane 2 (2012)"	1	25443
"Jazz Jackrabbit 2 (1998)"	1	25444
"Kalah! ()"	1	25445
"Kane & Lynch: Dead Men (2007)"	1	25446
"Kid Icarus: Uprising (2014)"	1	25447
"KnightShift (2005)"	1	25448
"Legacy of Kain (2000)"	1	25449
"Lego Star Wars: The Complete Saga (2007)"	1	25450
"Little Big Planet 2 (2011)"	1	25451
"Lucius (2012)"	1	25452
"Lylat Wars (2007)"	1	25453
"Magic: The Gathering ()"	1	25454
"Mahjong Tower ()"	1	25455
"Mario Party 7 (2006)"	1	25456
"Marvel Heroes 2015 (2014)"	1	25457
"Marvel vs StreetFighter (1998)"	1	25458
"Marvel: Ultimate Alliance (2006)"	1	25459
"Mega Man 3 (1990)"	1	25460
"Metal Slug 3 (2007)"	1	25461
"Might and Magic VIII: Day of the Destroyer (2011)"	1	25462
"Monopoly App ()"	1	25463
"Muramasa Rebirth (2013)"	1	25464
"My Lands (2014)"	1	25465
"NASCAR '14 (2014)"	1	25466
"Nano Assault Neo (2012)"	1	25467
"New Super Mario Bros. 2 (2012)"	1	25468
"New Super Mario Bros. Wii (2009)"	1	25469
"Nidhogg (2014)"	1	25470
"Nitro Nation Online (.)"	1	25471
"Octodad (2014)"	1	25472
"Okami (2008)"	1	25473
"Outlaws (1997)"	1	25474
"Overruled! (2014)"	1	25475
"P.T. (2014)"	1	25476
"Pandora - First Contact (2014)"	1	25477
"Patrizier IV (2013)"	1	25478
"Penumbra: Overture (2009)"	1	25479
"Pharaoh (1999)"	1	25480
"Piano Tiles (Don't Tap The White Tile) (.)"	1	25481
"PixelJunk Monsters Ultimate (2013)"	1	25482
"Pokémon Mystery Dungeon: Erkundungsteam Dunkelheit (2008)"	1	25483
"Pokémon Omega Rubin (.)"	1	25484
"Pokémon: Schwarze Edition 2 (2012)"	1	25485
"Powerstar Golf (2013)"	1	25486
"Rage of Bahamut (2012)"	1	25487
"Ragnarok Online 2 (.)"	1	25488
"Rail Nation (2013)"	1	25489
"Rayman (1995)"	1	25490
"Realms of the Haunting (2011)"	1	25491
"Recruits - Make Heroes. Make History (2014)"	1	25492
"Reflec Beat plus! (2010)"	1	25493
"RockBand (2008)"	1	25494
"Rockband 3 (2010)"	1	25495
"Rumble Roses XX (2006)"	1	25496
"Rune Factory 4 (2014)"	1	25497
"S.K.I.L.L.-Special Force 2 (.)"	1	25498
"S.N.O.W. (2014)"	1	25499
"SWAT 4 (2005)"	1	25500
"Schleichfahrt (1996)"	1	25501
"Screencheat (2014)"	1	25502
"Secret Weapons over Normandy (2003)"	1	25503
"Shadow Kings (.)"	1	25504
"Shift 2: Unleashed (2011)"	1	25505
"Shin Megami Tensei: Digital Devil Saga (2005)"	1	25506
"Sightline: The Chair (3000)"	1	25507
"Silent Hill (1999) (1999)"	1	25508
"Sins of the Dark Age (2015)"	1	25509
"Skullgirls (2012)"	1	25510
"Skylanders: Swap Force (Starter Pack) (2013)"	1	25511
"Sonic the Hedgehog 2 (2003)"	1	25512
"Splice (2012)"	1	25513
"Star Wars: Episode III – Die Rache der Sith (2005)"	1	25514
"Star Wars: Jedi Knight 2: Jedi Outcast (2002)"	1	25515
"Star Wars: The Battle of Endor (2014)"	1	25516
"StarDrive (2013)"	1	25517
"Starpoint Gemini (2011)"	1	25518
"Strategic Command World War 1 (2010)"	1	25519
"Stronghold Crusader HD (.)"	1	25520
"Summoners War: Sky Arena (.)"	1	25521
"Sunless Sea (.)"	1	25522
"Super Mario 64 (1996)"	1	25523
"Tactical Ops (2002)"	1	25524
"Take On Helicopters (2011)"	1	25525
"Tales Of Hearts (2008)"	1	25526
"Team Fortress Classic (2005)"	1	25527
"Temple Run (.)"	1	25528
"Tetris Ultimate (.)"	1	25529
"The Amazing Spider-Man ()"	1	25530
"The Chronicles of Riddick: Escape from Butcher Bay (2004)"	1	25531
"The Inner World (2010)"	1	25532
"The Last Remnant (2009)"	1	25533
"The Last Story (2012)"	1	25534
"The Legend of Zelda: Twilight Princess (2006)"	1	25535
"The Night of the Rabbit (2013)"	1	25536
"The Sailor's Dream (.)"	1	25537
"The Second World (1990)"	1	25538
"The Ship (2006)"	1	25539
"The Tiny Bang Story (2011)"	1	25540
"Toki Tori (2011)"	1	25541
"Tom Clancy's Rainbow Six: Rogue Spear ()"	1	25542
"Townsmen (.)"	1	25543
"Toy Soldiers (2010)"	1	25544
"Trackmania Nations (2006)"	1	25545
"Train Simulator 2014 (2013)"	1	25546
"UFO: Extraterrestrials (2007)"	1	25547
"Ultima IV: Quest of the Avatar (1985)"	1	25548
"Uncharted: Drakes Schicksal (2007)"	1	25549
"Underrail (2013)"	1	25550
"Underworld Empire (.)"	1	25551
"Velocity 2X (2014)"	1	25552
"Viscera Cleanup Detail (2014)"	1	25553
"WRC: Powerslide (2014)"	1	25554
"WWE Smackdown vs. Raw 2008 (2007)"	1	25555
"Warhammer: Mark of Chaos (2006)"	1	25556
"Warzone 2100 (1999)"	1	25557
"Wing Commander III: Heart of the Tiger (1994)"	1	25558
"Worms: Reloaded (2010)"	1	25559
"X-COM: Terror from the Deep (2007)"	1	25560
"Yoshi's Story (1998)"	1	25561
"Zombie Driver HD (2012)"	1	25562
"Zombie Roadkill (.)"	1	25563
"Zombies vs. Plants (.)"	1	25564
"Zoo Tycoon (2001)"	1	25565
"Zug um Zug ()"	1	25566
"forza horizon 2 (2014)"	1	25567
"(???) Bat man ()"	1	25568
"(???) BlazBlue (alle Spielereihe) ()"	1	25569
"(???) Call of Duty Advanced Warfigher ()"	1	25570
"(???) Dark Souls 1+2 ()"	1	25571
"(???) Downhill Racing ()"	1	25572
"(???) Family Guy (Android) ()"	1	25573
"(???) Genius Unternehmen Physik ()"	1	25574
"(???) Genre: RTS ()"	1	25575
"(???) Knights of the old Republic 1+2 ()"	1	25576
"(???) Landwirtschafts -Simulator ()"	1	25577
"(???) M.A.X. ()"	1	25578
"(???) Mario ()"	1	25579
"(???) Mass effect 1,2,3 ()"	1	25580
"(???) Runaway 1-3 ()"	1	25581
"(???) SPIDERMAN ()"	1	25582
"(???) Scooby Doo ()"	1	25583
"(???) Southpark ()"	1	25584
"(???) Tentacle Girl ()"	1	25585
"(???) Tentacle Wars ()"	1	25586
"(???) The Elder Scrolls: Oblivion/Skyrim ()"	1	25587
"(???) Tomb Raider 1 + 2 ()"	1	25588
"(???) Unchartet 1-3 ()"	1	25589
"(???) Wipe Out ()"	1	25590
"(???) andrere ()"	1	25591
"0h h1 (2015)"	1	25592
"10000000 (2012)"	1	25593
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome (2011)"	1	25594
"Ace Combat 6: Fires of Liberation (2007)"	1	25595
"Advance Wars: Dual Strike (2005)"	1	25596
"Alien Swarm (2010)"	1	25597
"Alundra (1997)"	1	25598
"Amazing Alex (.)"	1	25599
"Ar nosurge: Ode to an Unborn Star (2014)"	1	25600
"Arcana Heart 3: LOVE MAX!!!!! (2011)"	1	25601
"Azkend (.)"	1	25602
"Batman: Arkham Knight (2015)"	1	25603
"Battlefield Play4Free (2011)"	1	25604
"BeamNG.drive (2013)"	1	25605
"Bit.Trip.Runner 2 (2013)"	1	25606
"Blobby Volley 2 (2006)"	1	25607
"Brave and Default (2012)"	1	25608
"Captain Toad: Treasure Tracker (2015)"	1	25609
"Cities XL Platinum (2013)"	1	25610
"Cities in Motion (2011)"	1	25611
"ClusterPuck 99 (2014)"	1	25612
"Construction Simulator 2015 (2014)"	1	25613
"Cook, Serve, Delicious! (2013)"	1	25614
"Cosmonautica (2015)"	1	25615
"Costume Quest 2 (2014)"	1	25616
"Crawl (2014)"	1	25617
"Croqinole ()"	1	25618
"DTM Experience 2014 (.)"	1	25619
"Darkness Reborn (.)"	1	25620
"Darwinia (2006)"	1	25621
"Deliverance-Kingdome Comes Tech Alpha (2016)"	1	25622
"Die Gilde (.)"	1	25623
"Die Siedler II – Die nächste Generation (2006)"	1	25624
"Dirks kostenloser Fussballmanager (2009)"	1	25625
"Dirty Bomb (2015)"	1	25626
"Doom & Destiny (2012)"	1	25627
"Doom 2 (2002)"	1	25628
"Duke Nukem: Manhattan Project (2002)"	1	25629
"Dungeon Hunter: Alliance (2012)"	1	25630
"Dungeon Raid (.)"	1	25631
"Dungeon of Slyn (.)"	1	25632
"EDGE Extended (.)"	1	25633
"Earth Defense Force 2025 (2014)"	1	25634
"East India Company (2009)"	1	25635
"Electronic Super Joy (2013)"	1	25636
"Estraged (2014)"	1	25637
"Euro Trucksimulator 2014 (.)"	1	25638
"F-Zero GX (2003)"	1	25639
"F1 Challenge 99-02 (2003)"	1	25640
"FarmVille (2009)"	1	25641
"Final Fantasy II (2001)"	1	25642
"Final Fantasy V (1999)"	1	25643
"Flow Free: Bridges (.)"	1	25644
"Fruit Ninja (2010)"	1	25645
"Galactic Civilizations II (2009)"	1	25646
"Geheimakte: Sam Peters (.)"	1	25647
"God Mode (2013)"	1	25648
"Godville (2010)"	1	25649
"Goldeneye 007 (n64) (2010)"	1	25650
"Goodgame Empire (2012)"	1	25651
"Great Big war game (2012)"	1	25652
"Guilty Gear Xrd (2014)"	1	25653
"Haegemonia: Legions of Iron (2014)"	1	25654
"Halo 5: Guardians (2015)"	1	25655
"Hardboiled Chicken (2012)"	1	25656
"Hashi ()"	1	25657
"Haxball (.)"	1	25658
"Heroes of Might and Magic 5 (2006)"	1	25659
"Heroes of Might and Magic 6 (2011)"	1	25660
"Hitman GO (.)"	1	25661
"Ice Age: Die Siedlung (.)"	1	25662
"Indiana Jones and the Fate of Atlantis (1992)"	1	25663
"Indiana Jones-greatest Adventures (1994)"	1	25664
"Just Dance 2014 (2013)"	1	25665
"Just Dance 2015 (2014)"	1	25666
"Landmark (2014)"	1	25667
"LittleBigPlanet: Karting (2012)"	1	25668
"Maia (2013)"	1	25669
"Manhunt (2004)"	1	25670
"Mars Effect (2007)"	1	25671
"Mata Hari (2008)"	1	25672
"Max & Mario - Die Rache des Dr. Düster (2001)"	1	25673
"McPixel (2012)"	1	25674
"MechWarrior 4: Mercenaries (2002)"	1	25675
"Monopoly Plus (.)"	1	25676
"Neuroshima Hex (.)"	1	25677
"Nimble Quest (2013)"	1	25678
"ORION: Prelude (2012)"	1	25679
"Obulis (2009)"	1	25680
"Pizza Connection ()"	1	25681
"Pokémon Showdown (.)"	1	25682
"Pokémon Trading Card Game Online (2015)"	1	25683
"Pokémon: Smaragd-Edition (2005)"	1	25684
"Pro Cycling Manager 2013 (2013)"	1	25685
"Pro Evolution Soccer 6 (2006)"	1	25686
"Professor Layton und die Maske der Wunder (2012)"	1	25687
"Real Racing 3 (2013)"	1	25688
"Real World Racing (2013)"	1	25689
"Renegade Ops (2011)"	1	25690
"Rise of Flight (2009)"	1	25691
"Sacred 3 (2014)"	1	25692
"Sauspiel Schafkopf (.)"	1	25693
"School of Dragons (2014)"	1	25694
"Serious Sam 2 HD (2010)"	1	25695
"Shadow Man (1999)"	1	25696
"Shantae (2013)"	1	25697
"Shattered Horizon (2009)"	1	25698
"Sing Party (.)"	1	25699
"Skull Girls (2012)"	1	25700
"Skylanders: Trap Team (2014)"	1	25701
"Sniper Elite: Zombie Army (2013)"	1	25702
"Sonic Boom: Rise of Lyric (2014)"	1	25703
"Space Age: A Game of Space Adventure (.)"	1	25704
"Space Trader (Eigenproduktion) ()"	1	25705
"Spider-Man Unlimited (.)"	1	25706
"Star Wars: The Force Unleashed (2008)"	1	25707
"Star Wars: X-Wing (1994)"	1	25708
"Starwhal (.)"	1	25709
"Still Life 2 (2010)"	1	25710
"Subway Surfers (2012)"	1	25711
"Sudeki (2006)"	1	25712
"Sudoku Free (.)"	1	25713
"Supersonic Acrobatic Rocket-Powered Battle-Cars (2009)"	1	25714
"Sword of the Stars: The Pit (2013)"	1	25715
"Söldner – Secret Wars (2004)"	1	25716
"Tales of Xillia (2011)"	1	25717
"Tangled (.)"	1	25718
"Tekken 6 (2009)"	1	25719
"Teleglitch (2013)"	1	25720
"Texas Hold'Em King 2 (.)"	1	25721
"The Age of Decadence (.)"	1	25722
"The Battle for Wesnoth (.)"	1	25723
"The Bridge (2013)"	1	25724
"The Golf Club (2014)"	1	25725
"The Hunter (.)"	1	25726
"The Last Tinker: City of Colors (2014)"	1	25727
"The Wonderful 101 (2013)"	1	25728
"The Yawhg (2013)"	1	25729
"Theme Hospital (1997)"	1	25730
"Time Ramesside (2015)"	1	25731
"Tiny Tower (2011)"	1	25732
"Township (2013)"	1	25733
"TrackMania United (2007)"	1	25734
"Transformers: Fall of Cybertron (2012)"	1	25735
"Turok 2: Seeds of Evil (1998)"	1	25736
"UFO: Enemy Unknown (1995)"	1	25737
"Und mehr ()"	1	25738
"Universe Sandbox (2011)"	1	25739
"Unmechanical (2012)"	1	25740
"Vainglory (2014)"	1	25741
"WWE 2k13 (2012)"	1	25742
"War of the Roses (2012)"	1	25743
"Wario Ware, Inc. Minigame Mania (2003)"	1	25744
"Warlock: Master of Arcane (2012)"	1	25745
"Wii Fit U (2013)"	1	25746
"Wizard's Choice (.)"	1	25747
"World Cruise Story (.)"	1	25748
"World In Conflict (2007)"	1	25749
"World Soccer Winning Eleven 9 (2005)"	1	25750
"World War II Online (2001)"	1	25751
"Worms 2: Armageddon (2009)"	1	25752
"X3: Gold Edition (2008)"	1	25753
"XCOM UFO Defense (2008)"	1	25754
"prey (2006)"	1	25755
