"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Halo 4 (2012)"	8	22679
"Killzone: Shadow Fall (2013)"	8	22687
"Kingdoms of Amalur: Reckoning (2012)"	8	22695
"Magicka (2011)"	8	22703
"Mortal Kombat (2011) (2013)"	8	22711
"Star Wars: Empire at War (2006)"	8	22719
"Super Mario 3D Land (2011)"	8	22727
"Trials: Fusion (2014)"	8	22735
"Worms Armageddon (2013)"	8	22743
"Audiosurf: Ride Your Music (2008)"	8	22751
"(???) Mass Effect Trilogy ()"	7	22758
"Boom Beach (2014)"	7	22765
"Call of Duty: Black Ops (2010)"	7	22772
"Castlevania: Lords of Shadow 2 (2014)"	7	22779
"DCS: A-10C Warthog - Digital Combat Simulator (2011)"	7	22786
"F1 2014 (2014)"	7	22793
"Halo 3 (2009)"	7	22800
"L.A. Noire (2011)"	7	22807
"Left 4 Dead (2008)"	7	22814
"Life is Feudal (.)"	7	22821
"NHL 15 (2014)"	7	22828
"Napoleon: Total War (2010)"	7	22835
"Need for Speed: Rivals (2013)"	7	22842
"Panzer Corps: Wehrmacht (2011)"	7	22849
"Plague Inc: Evolved (.)"	7	22856
"Rage (2011)"	7	22863
"Remeber Me (2013)"	7	22870
"Risen 2: Dark Waters (2012)"	7	22877
"Rogue Legacy (2014)"	7	22884
"Rome: Total War (2006)"	7	22891
"Sherlock Holmes and the Hound of Baskervilles (2012)"	7	22898
"The Secret World (2012)"	7	22905
"Train Simulator 2015 (2013)"	7	22912
"Trine (2009)"	7	22919
"WildStar (.)"	7	22926
"Batman: Arkham Asylum (2009)"	7	22933
"BioShock 2 (2010)"	7	22940
"Heroes of Might and Magic III: The Restoration of Erathia (2006)"	7	22947
"Medieval II: Total War (2000)"	7	22954
"Sanctum 2 (2013)"	7	22961
"Shadowrun Returns (2013)"	7	22968
"Tera Online (2011)"	7	22975
"Broforce (2014)"	7	22982
"Pinball FX2 (2010)"	7	22989
"(???) The Legend of Zelda ()"	6	22995
"Aliens: Colonial Marines (2013)"	6	23001
"Banner Saga (2014)"	6	23007
"Battlefield 2 (2005)"	6	23013
"Defiance (2013)"	6	23019
"Dynasty Warriors 8 (2014)"	6	23025
"Europa Universalis (2000)"	6	23031
"Factorio (.)"	6	23037
"Final Fantasy (2008)"	6	23043
"Final Fantasy X (2002)"	6	23049
"GODUS (2013)"	6	23055
"Halo: Spartan Assault (2013)"	6	23061
"Lara Croft und der Tempel des Osiris (.)"	6	23067
"Legend of Grimrock (2012)"	6	23073
"Lichdom: Battlemage (2014)"	6	23079
"Need for Speed: Most Wanted (Origin) (2005)"	6	23085
"Shadow Warrior (2013) (1997)"	6	23091
"Shadowrun: Dragonfall (2014)"	6	23097
"Shin Megami Tensei: Persona 4 (2008)"	6	23103
"The Book of Unwritten Tales (2009)"	6	23109
"The Legend of Zelda: The Wind Waker (2003)"	6	23115
"TrackMania 2 (2011)"	6	23121
"Awesomenauts (2012)"	6	23127
"Bulletstorm (2011)"	6	23133
"Candy Crush Saga (2012)"	6	23139
"Castle Crashers (2008)"	6	23145
"Craft The World (2014)"	6	23151
"Crysis 2 (2011)"	6	23157
"Democracy 3 (2013)"	6	23163
"Die Siedler 7 (2010)"	6	23169
"Dragon's Dogma (2012)"	6	23175
"Emergency 4 (2006)"	6	23181
"Fire Emblem: Awakening (2013)"	6	23187
"Forza Motorsport 4 (2011)"	6	23193
"Game Dev Tycoon (2013)"	6	23199
"Hill Climb Racing (2012)"	6	23205
"Lara Croft and the Guardian of Light (2010)"	6	23211
"Loadout (2014)"	6	23217
"Mark of the Ninja (2012)"	6	23223
"Ni No Kuni ()"	6	23229
"Payday: The Heist (2011)"	6	23235
"Project CARS (2015)"	6	23241
"Sniper Elite 3 (2014)"	6	23247
"Vampire the Masquerade: Bloodlines (2007)"	6	23253
"SimCity 4 (2003)"	6	23259
"Age of Empires III (2005)"	5	23264
"Angry Birds (2011)"	5	23269
"Beyond: Two Souls (2013)"	5	23274
"Darksiders (2010)"	5	23279
"Dawn of War II (2010)"	5	23284
"Devil May Cry (2001)"	5	23289
"Duke Nukem Forever (2011)"	5	23294
"Fallout 2 (1998)"	5	23299
"Firefall (2013)"	5	23304
"Heroes & Generals (2013)"	5	23309
"Icewind Dale: Enhanced Edition (2014)"	5	23314
"Kingdom Hearts (2002)"	5	23319
"LEGO Der Herr der Ringe (2012)"	5	23324
"LittleBigPlanet (2008)"	5	23329
"Metal Gear Solid (1998)"	5	23334
"Orcs Must Die! 2 (2012)"	5	23339
"Osu! (2007)"	5	23344
"PayDay (2011)"	5	23349
"S.T.A.L.K.E.R.: Call of Pripyat (2010)"	5	23354
"Super Hexagon (2012)"	5	23359
"Ultra Street Fighter IV (2014)"	5	23364
"Uncharted 3 (2011)"	5	23369
"Victoria II (2010)"	5	23374
"Worms: Revolution (2012)"	5	23379
"X3: Terran Conflict (2008)"	5	23384
"Xenonauts (2014)"	5	23389
"(???) Civilization ()"	5	23394
"Age of Empires (1997)"	5	23399
"Bastion (2011)"	5	23404
"Beyond Good & Evil (2005)"	5	23409
"Brütal Legend (2009)"	5	23414
"Command & Conquer (1995)"	5	23419
"Dead Island: Riptide (2013)"	5	23424
"Dead Space (2008)"	5	23429
"Dirt 3 (2011)"	5	23434
"Disney Infinity: 2.0 Edition (.)"	5	23439
"Dust: An Elysian Tail (2014)"	5	23444
"Fallout (1997)"	5	23449
"Gears of War 3 (2011)"	5	23454
"Geometry Wars 3: Dimensions (2014)"	5	23459
"Heroes of Might and Magic V (2006)"	5	23464
"Mario Kart 7 (2011)"	5	23469
"Minesweeper (2013)"	5	23474
"Quake III Arena (1999)"	5	23479
"Resident Evil: Revelations (2013)"	5	23484
"Saints Row 2 (2008)"	5	23489
"Serious Sam 3: BFE (2011)"	5	23494
"Shovel Knight (2014)"	5	23499
"Sonic & All-Stars Racing Transformed (2012)"	5	23504
"Speedrunners (2013)"	5	23509
"Spore (2008)"	5	23514
"Star Wars: Battlefront II (2009)"	5	23519
"Star Wars: Commander (2014)"	5	23524
"Stronghold Crusader (2002)"	5	23529
"Supreme Commander: Forged Alliance (2007)"	5	23534
"Tropico 3 (2009)"	5	23539
"(???) Batman ()"	5	23544
"Always Sometimes Monsters (2014)"	5	23549
"Burnout Paradise (2008)"	5	23554
"Fussball Manager 13 (2012)"	5	23559
"Knack (2013)"	5	23564
"Monaco: What's Yours is Mine (2013)"	5	23569
"The Legend of Zelda: Ocarina of Time (1998)"	5	23574
