"Titel"	"Anzahl"
"Castlestorm"	1
"Castlevania: Lords of Shadow – Mirror of Fate"	1
"Cave Story+"	1
"Ceville"	1
"Champions Online"	1
"Child of Light"	1
"Children of Mana"	1
"Circuits"	1
"Cities in Motion 2"	1
"Clonk Rage"	1
"Combat Arms"	1
"Command ""Command & Conquer: Renegade"" Conquer: Renegade"	1
"Command ""Command and Conquer"" Conquer"	1
"Command ""command&conquer allianzes"" Conquer: Tiberium Alliances"	1
"Cookie Clicker"	1
"CosmicBreak"	1
"Crazy Taxi"	1
"Creeper World 3 - Knuckle Cracker"	1
"Crime City"	1
"Crypt of the NecroDancer"	1
"Crysis 2"	1
"Dark Age of Camelot"	1
"Dark Chronicle"	1
"Dark Messiah of Might and Magic"	1
"Dark Project 2: The Metal Age"	1
"Dark Raid"	1
"Dark Souls - Prepare to Die Edition"	1
"Darkest of Days"	1
"Das Schwarze Auge: Blackguards"	1
"Das Schwarze Auge: Drakensang"	1
"Dawn of War II"	1
"Day of Defeat"	1
"Daylight"	1
"DCS: A-10C Warthog - Digital Combat Simulator"	1
"Dead Space"	1
"Dead Space 2"	1
"Deadfall Adventures"	1
"Dear Esther"	1
"Defender's Quest: Valley of the Forgotten"	1
"Defy Gravity"	1
"Delver"	1
"Democracy 3"	1
"Demon's Souls"	1
"Depth"	1
"Der Herr der Ringe: Die Schlacht um Mittelerde"	1
"Der Herr der Ringe: Die Schlacht um Mittelerde 2"	1
"Desperados: Wanted Dead or Alive"	1
"Deus Ex"	1
"Diablo II"	1
"Die Siedler – Aufstieg eines Königreichs"	1
"Die Sielder - Das Erbe der Könige"	1
"Die Sims 3"	1
"Dino D-Day"	1
"Dirks kostenloser Fussballmanager"	1
"Divine Divinity"	1
"Doodle God"	1
"Doom"	1
"Doom ""Doom & Destiny"" Destiny"	1
"DotA 1"	1
"Dragon's Dogma"	1
"Driveclub"	1
"Driver: San Francisco"	1
"Drunken Robot Pornography"	1
"DuckTales: Remastered"	1
"Duke Nukem 3D"	1
"Dungeon Siege II"	1
"Dungeon Siege III"	1
"Dungeons of Dredmor"	1
"Dust: An Elysian Tail"	1
"Dwarf Fortress"	1
"Eador: Genesis"	1
"East India Company"	1
"Elsword"	1
"Emergency 2014"	1
"Emergency 4"	1
"Enemy Front"	1
"English Country Tune"	1
"Estraged"	1
"Etrian Odyssey"	1
"Eufloria HD"	1
"Euro Truck Simulator"	1
"Europa Universalis III"	1
"Evil Genius"	1
"Evochron Mercenary"	1
"Evoland: A Short Story of Adventure Video Games Evolution (GOG)"	1
"Expeditions: Conquistador"	1
"F.E.A.R. 3"	1
"Façade"	1
"Factorio"	1
"Faery - Legends of Avalon"	1
"FIFA 12"	1
"FIFA World"	1
"Final Fantasy"	1
"Final Fantasy III"	1
"Final Fantasy XIII-2"	1
"Final Fight"	1
"Firefall"	1
"Floating Point"	1
"Forge Quest"	1
"FortressCraft Evolved!"	1
"Forza Motorsport 4"	1
"Freecol"	1
"Full Mojo Rampage"	1
"Fussball Manager 13"	1
"Galactic Civilizations III"	1
"Gear Up"	1
"Giana Sisters: Twisted Dreams (Limited Edition)"	1
"God Mode"	1
"Gothic II - Die  Nacht des Raben"	1
"Gran Turismo 6"	1
"Grand Theft Auto"	1
"Grand Theft Auto: Vice City"	1
"Guitar Hero"	1
"Gunman Chronicles"	1
"Haegemonia: Legions of Iron"	1
"Halo: Reach"	1
"Hammerwatch"	1
"Happy Wars"	1
"Harveys Neue Augen"	1
"Hatsune Miku: Project Diva F 2nd"	1
"Haxball"	1
"Hellgate: London"	1
"Heroes ""Heroes & Generals"" Generals"	1
"Heroes Charge"	1
"Heroes of Might and Magic III: The Restoration of Erathia"	1
"Herrscher des Olymp – Zeus"	1
"Hexcells Plus"	1
"Highway Racer 3D"	1
"Hill Climb Racing"	1
"Hitman"	1
"Hitman GO"	1
"Hitman: Absolution"	1
"I am Bread"	1
"Icewind Dale"	1
"Icewind Dale: Enhanced Edition"	1
"Imouto Ijime"	1
"Indiana  Jones-greatest Adventures"	1
"Infestation"	1
"Infinity Wars"	1
"InflationRPG"	1
"Injustice: Gods Among Us"	1
"iRacing.com"	1
"Jazz Jackrabbit 2"	1
"Journey"	1
"Just Cause 2"	1
"Kairo"	1
"Kane ""Kane and Lynch: Dead Man"" Lynch: Dead Men"	1
"Kantai Collection"	1
"Kenshi"	1
"Kentucky Route Zero"	1
"King of Dragon Pass"	1
"Kingdom Hearts"	1
"KnightShift"	1
"L.A. Noire"	1
"Lara Croft and the Guardian of Light"	1
"LEGO Batman: The Videogame"	1
"LEGO Der Herr der Ringe"	1
"LEGO Star Wars"	1
"LEGO: Der Hobbit"	1
"Letter Quest: Grimm's Journey"	1
"LittleBigPlanet"	1
"Lost Horizon"	1
"Lucius"	1
"Machinarium"	1
"Magicite"	1
"Mahjong Tower"	1
"Manhunt 2"	1
"Maniac Mansion"	1
"Mario Kart 64"	1
"Mark of the Ninja"	1
"Marvel Heroes 2015"	1
"Max Payne 2: The Fall of Max Payne"	1
"MechWarrior Online"	1
"Medal of Honor: Warfighter"	1
"Medieval II: Total War"	1
"Mega Man 3"	1
"Metal Slug 3"	1
"Metro 2033"	1
"Metro 2033 Redux"	1
"Might ""Clash of Heroes"" Magic: Clash of Heroes"	1
"Might ""Might & Magic VI: The Mandate of Heaven"" Magic VI: The Mandate of Heaven"	1
"Minesweeper"	1
"Minetest"	1
"Minimum"	1
"Mirror's Edge"	1
"MLB 14 The Show"	1
"Monkey Island 2: LeChuck's Revenge"	1
"Mount""Mount and Blade - Warband""Blade: Warband"	1
"Mount""Mount and Blade Warand""Blade: Warband"	1
"Mount""Mount and Blade With Fire and Sword""Blade: Warband"	1
"Mount""Mount and Blade: Warband""Blade: Warband"	1
"Mount""Mount& Blade: Warband""Blade: Warband"	1
"Mount""Mount&Blade:Warband""Blade: Warband"	1
"Mount""MountAndBladeWarband""Blade: Warband"	1
"Muramasa Rebirth"	1
"mushroom garden"	1
"My Lands"	1
"Naruto Shippuden: Ultimate Ninja Storm Revolution"	1
"Naruto Shippuuden: Narutimate Storm Revolution"	1
"Natural Doctrine"	1
"Need For Speed"	1
"Need for Speed: Brennender Asphalt"	1
"Need for Speed: Shift"	1
"Never Alone"	1
"New Super Mario Bros. 2"	1
"New Super Mario Bros. U"	1
"Nimble Quest"	1
"Nobunaga's Ambition: Souzou"	1
"NotTetris"	1
"Obulis"	1
"Octodad: Dadliest Catch"	1
"Ogame"	1
"One Finger Death Punch"	1
"Orcs Must Die! 2"	1
"ORION: Prelude"	1
"Otomaid @ Cafe"	1
"Overruled!"	1
"Painkiller"	1
"Pandora - First Contact"	1
"Patrizier IV"	1
"Penumbra: Overture"	1
"Phantasy Star Online 2"	1
"Picmi"	1
"PixelJunk Monsters Ultimate"	1
"Pizza Connection"	1
